timestamp_ms,accel_x,accel_y,accel_z,sensor_valid
1789584972909,0.245361328125,0.643798828125,0.05810546875,True
1789584973450,-0.126953125,0.179931640625,1.286865234375,True
1789584973991,0.677490234375,1.0341796875,0.287353515625,True
1789584974533,-0.5224609375,1.90869140625,0.347412109375,True
1789584975073,-0.64794921875,1.757080078125,0.005615234375,True
1789584975617,-0.80615234375,1.508056640625,-0.148681640625,True
1789584976158,1.086181640625,-0.67919921875,0.447265625,True
1789584976698,0.583740234375,0.455322265625,0.75390625,True
1789584977240,0.724853515625,-0.921630859375,0.51025390625,True
1789584977780,0.6328125,1.3193359375,1.6728515625,True
1789584978322,-0.119873046875,0.533447265625,0.8173828125,True
1789584978865,-0.0556640625,-0.013427734375,0.968505859375,True
1789584979405,0.5908203125,0.627197265625,0.271240234375,True
1789584979948,-0.545166015625,0.777587890625,-0.284423828125,True
1789584980488,0.77978515625,0.914794921875,0.30712890625,True
1789584981026,0.02294921875,1.041259765625,0.81591796875,True
1789584981568,0.494873046875,-0.064208984375,-0.369140625,True
1789584982109,1.298828125,0.315185546875,-0.67431640625,True
1789584982650,0.1298828125,0.923828125,-0.11962890625,True
1789584983191,-0.070556640625,0.40771484375,0.508056640625,True
1789584983730,0.145751953125,0.755615234375,0.990966796875,True
1789584984267,1.050537109375,0.570556640625,0.443603515625,True
1789584984805,1.232421875,1.617431640625,0.238525390625,True
1789584985347,-0.923095703125,-0.864501953125,0.6669921875,True
1789584985889,1.3427734375,1.947509765625,-0.351318359375,True
1789584986429,0.615478515625,-1.163818359375,1.93408203125,True
1789584986970,-0.10888671875,1.20361328125,0.36279296875,True
1789584987509,-0.29248046875,0.326416015625,0.588623046875,True
1789584988048,-0.8486328125,0.605712890625,1.0205078125,True
